Year,Rate
1990,6.0930208396993555
1991,7.142390900074403
1992,7.464903699174545
1993,6.924036799209706
1994,6.1866493427086215
1995,5.893411284335578
1996,5.912080635668061
1997,5.474520306062401
1998,5.114220725511012
1999,4.873475645712919
2000,4.321122773912002
2001,4.985591404250235
2002,5.7209145693016605
2003,6.0279897393560145
2004,5.695816506814797
2005,5.438981112345628
2006,4.979262558772564
2007,4.896068510370802
2008,5.759989965236723
2009,8.883837972056508
2010,9.189579939492663
2011,8.523476650656791
2012,7.657543816644144
2013,7.211610060690967
2014,6.0963652224484095
2015,5.401872726188337
2016,5.16068034746107
